soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
11-1000,,,,4.4,,,4049.9000000000005,4228.1
11-1011,Bachelor's degree,5 years or more,No on-the-job training,4.3,22.2,206420.0,309.4,322.7
11-1021,Bachelor's degree,5 years or more,No on-the-job training,4.4,308.7,102950.0,3712.8,3876.8
11-1031,Bachelor's degree,Less than 5 years,No on-the-job training,3.4,2.2,44810.0,27.700000000000003,28.6
11-2000,,,,5.2,,,1182.3,1243.5
11-2011,Bachelor's degree,Less than 5 years,No on-the-job training,-2.2,2.1,126960.0,27.0,26.4
11-2020,,,,5.4,,,1026.5,1082.2
11-2021,Bachelor's degree,5 years or more,No on-the-job training,6.6,34.3,161030.0,407.0,433.7
11-2022,Bachelor's degree,Less than 5 years,No on-the-job training,4.7,49.0,138060.0,619.5,648.5
11-2030,,,,4.7,,,128.8,134.9
11-2032,Bachelor's degree,5 years or more,No on-the-job training,5.0,6.6,138520.0,83.2,87.3
11-2033,Bachelor's degree,5 years or more,No on-the-job training,4.2,3.6,123480.0,45.7,47.6
11-3000,,,,10.1,,,2789.6000000000004,3072.3
11-3010,,,,4.3,,,422.59999999999997,440.9
11-3012,Bachelor's degree,Less than 5 years,No on-the-job training,4.6,23.2,108390.0,271.2,283.8
11-3013,Bachelor's degree,Less than 5 years,No on-the-job training,3.8,13.2,104690.0,151.4,157.1
11-3021,Bachelor's degree,5 years or more,No on-the-job training,15.2,55.6,171200.0,667.1,768.7
11-3031,Bachelor's degree,5 years or more,No on-the-job training,14.8,74.6,161700.0,868.5999999999999,997.4
11-3051,Bachelor's degree,5 years or more,No on-the-job training,1.9,17.1,121440.0,241.9,246.5
11-3061,Bachelor's degree,5 years or more,No on-the-job training,3.1,6.4,139510.0,83.5,86.1
11-3071,High school diploma or equivalent,5 years or more,No on-the-job training,6.1,18.5,102010.0,216.70000000000002,229.8
11-3111,Bachelor's degree,5 years or more,No on-the-job training,0.2,1.5,140360.0,20.9,20.9
11-3121,Bachelor's degree,5 years or more,No on-the-job training,5.0,17.9,140030.0,221.9,233.0
11-3131,Bachelor's degree,5 years or more,No on-the-job training,5.8,3.8,127090.0,46.5,49.2
11-9000,,,,5.6,,,5585.8,5897.1
11-9013,High school diploma or equivalent,5 years or more,No on-the-job training,-1.3,85.5,87980.0,836.1,825.0
11-9021,Bachelor's degree,No experience required,Moderate-term on-the-job training,8.7,46.8,106980.0,550.3,598.4
11-9030,,,,-0.3,,,710.2,708.2
11-9031,Bachelor's degree,Less than 5 years,No on-the-job training,-2.5,5.5,56270.0,90.2,87.9
11-9032,Master's degree,5 years or more,No on-the-job training,-1.5,20.8,104070.0,333.20000000000005,328.1
11-9033,Master's degree,Less than 5 years,No on-the-job training,1.7,15.1,103960.0,226.5,230.5
11-9039,Bachelor's degree,Less than 5 years,No on-the-job training,2.5,4.1,89040.0,60.2,61.7
11-9041,Bachelor's degree,5 years or more,No on-the-job training,3.8,14.5,167740.0,212.5,220.5
11-9051,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,6.4,42.0,65310.0,352.7,375.3
11-9070,,,,7.0,,,48.300000000000004,51.7
11-9071,High school diploma or equivalent,Less than 5 years,No on-the-job training,1.2,0.6,85580.0,5.1000000000000005,5.2
11-9072,Bachelor's degree,Less than 5 years,No on-the-job training,7.7,5.5,77180.0,43.2,46.5
11-9081,High school diploma or equivalent,Less than 5 years,No on-the-job training,3.4,5.4,68130.0,52.0,53.8
11-9111,Bachelor's degree,Less than 5 years,No on-the-job training,23.2,62.1,117960.0,616.2,759.1
11-9121,Bachelor's degree,5 years or more,No on-the-job training,3.7,8.5,161180.0,104.3,108.2
11-9131,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,-3.5,0.9,92730.0,13.2,12.7
11-9141,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,3.6,39.0,66700.0,466.1,483.1
11-9151,Bachelor's degree,Less than 5 years,No on-the-job training,6.4,18.6,78240.0,219.8,233.9
11-9161,Bachelor's degree,5 years or more,No on-the-job training,3.0,1.0,86130.0,13.2,13.6
11-9170,,,,5.2,,,57.1,60.1
11-9171,Associate's degree,Less than 5 years,No on-the-job training,4.1,2.6,76830.0,32.1,33.4
11-9179,High school diploma or equivalent,Less than 5 years,No on-the-job training,6.5,2.1,61340.0,25.099999999999998,26.7
11-9199,Bachelor's degree,Less than 5 years,No on-the-job training,4.5,106.7,136550.0,1333.7,1393.5
13-1000,,,,5.5,,,7921.099999999999,8356.3
13-1011,Bachelor's degree,Less than 5 years,No on-the-job training,8.7,2.2,96310.0,21.3,23.2
13-1020,Bachelor's degree,No experience required,Moderate-term on-the-job training,5.8,52.2,75650.0,522.1999999999999,552.3
13-1030,,,,-5.2,,,365.2,346.3
13-1031,High school diploma or equivalent,No experience required,Long-term on-the-job training,-5.1,21.1,76790.0,356.09999999999997,337.9
13-1032,Postsecondary nondegree award,No experience required,Moderate-term on-the-job training,-8.2,0.5,76650.0,9.200000000000001,8.4
13-1041,Bachelor's degree,No experience required,Moderate-term on-the-job training,3.0,33.3,78420.0,418.0,430.3
13-1051,Bachelor's degree,No experience required,Moderate-term on-the-job training,-4.2,16.9,77070.0,221.4,212.1
13-1070,,,,5.8,,,1013.6999999999999,1072.3
13-1071,Bachelor's degree,No experience required,No on-the-job training,6.2,81.8,72910.0,944.3000000000001,1002.7
13-1074,No formal educational credential,Less than 5 years,Short-term on-the-job training,6.0,0.3,48690.0,4.0,4.2
13-1075,Bachelor's degree,Less than 5 years,No on-the-job training,-0.1,5.1,93500.0,65.5,65.4
13-1080,,,,7.7,,,1287.2,1386.2
13-1081,Bachelor's degree,No experience required,No on-the-job training,16.7,26.4,80880.0,241.0,281.3
13-1082,Bachelor's degree,No experience required,No on-the-job training,5.6,78.2,100750.0,1046.3,1105.0
13-1111,Bachelor's degree,Less than 5 years,No on-the-job training,8.8,98.1,101190.0,1075.2,1169.7
13-1121,Bachelor's degree,No experience required,No on-the-job training,4.8,15.5,59440.0,155.8,163.3
13-1131,Bachelor's degree,No experience required,No on-the-job training,4.3,10.2,66490.0,134.39999999999998,140.2
13-1141,Bachelor's degree,Less than 5 years,No on-the-job training,5.3,8.5,77020.0,107.10000000000001,112.7
13-1151,Bachelor's degree,Less than 5 years,No on-the-job training,10.8,43.9,65850.0,452.3,501.0
13-1161,Bachelor's degree,No experience required,No on-the-job training,6.7,87.2,76950.0,941.7,1004.7
13-1199,Bachelor's degree,No experience required,No on-the-job training,3.0,108.2,81270.0,1205.7,1242.0
13-2000,,,,4.5,,,3340.9,3492.6
13-2011,Bachelor's degree,No experience required,No on-the-job training,4.6,124.2,81680.0,1579.8,1652.6
13-2020,Bachelor's degree,No experience required,Long-term on-the-job training,3.8,6.3,65420.0,77.3,80.2
13-2031,Bachelor's degree,No experience required,No on-the-job training,1.0,3.1,87930.0,50.5,51.0
13-2041,Bachelor's degree,No experience required,No on-the-job training,-4.4,3.7,80970.0,67.8,64.8
13-2050,,,,6.0,,,881.9,934.9
13-2051,Bachelor's degree,No experience required,No on-the-job training,5.7,25.1,101350.0,368.5,389.6
13-2052,Bachelor's degree,No experience required,Long-term on-the-job training,9.6,24.1,102140.0,326.0,357.2
13-2053,Bachelor's degree,No experience required,Moderate-term on-the-job training,-2.6,8.2,79880.0,127.0,123.7
13-2054,Bachelor's degree,No experience required,No on-the-job training,6.5,4.8,106000.0,60.50000000000001,64.4
13-2061,Bachelor's degree,No experience required,Long-term on-the-job training,18.5,5.7,90400.0,65.10000000000001,77.2
13-2070,,,,1.8,,,333.2,339.3
13-2071,Bachelor's degree,No experience required,Moderate-term on-the-job training,3.3,2.2,50480.0,31.799999999999997,32.9
13-2072,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,1.7,20.3,74180.0,301.5,306.5
13-2080,,,,2.1,,,148.2,151.2
13-2081,Bachelor's degree,No experience required,Moderate-term on-the-job training,-1.8,4.3,59740.0,57.5,56.5
13-2082,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.5,10.4,50560.0,90.60000000000001,94.7
13-2099,Bachelor's degree,No experience required,No on-the-job training,3.1,10.3,80190.0,137.1,141.4
15-1200,,,,8.6,,,4985.599999999999,5414.4
15-1210,,,,13.9,,,703.8,801.4
15-1211,Bachelor's degree,No experience required,No on-the-job training,8.7,34.2,103790.0,521.0,566.5
15-1212,Bachelor's degree,Less than 5 years,No on-the-job training,28.5,16.0,124910.0,182.8,234.9
15-1221,Master's degree,No experience required,No on-the-job training,19.7,3.2,140910.0,40.4,48.3
15-1230,,,,-2.7,,,882.2,858.0
15-1231,Associate's degree,No experience required,Moderate-term on-the-job training,1.8,9.6,73340.0,152.7,155.5
15-1232,"Some college, no degree",No experience required,Moderate-term on-the-job training,-3.7,40.8,60340.0,729.5,702.5
15-1240,,,,2.0,,,655.5,668.4
15-1241,Bachelor's degree,5 years or more,No on-the-job training,11.9,11.2,130390.0,179.2,200.6
15-1242,Bachelor's degree,No experience required,No on-the-job training,-0.7,3.8,104620.0,78.0,77.5
15-1243,Bachelor's degree,Less than 5 years,No on-the-job training,8.7,4.0,135980.0,66.9,72.7
15-1244,Bachelor's degree,No experience required,No on-the-job training,-4.2,14.3,96800.0,331.5,317.7
15-1250,,,,13.3,,,2231.6,2527.7
15-1251,Bachelor's degree,No experience required,No on-the-job training,-6.0,5.5,98670.0,121.10000000000001,113.9
15-1252,Bachelor's degree,No experience required,No on-the-job training,15.8,115.2,133080.0,1693.7,1961.4
15-1253,Bachelor's degree,No experience required,No on-the-job training,10.0,14.0,102610.0,201.70000000000002,221.9
15-1254,Bachelor's degree,No experience required,No on-the-job training,7.5,5.4,90930.0,86.0,92.5
15-1255,Bachelor's degree,No experience required,No on-the-job training,7.0,9.1,98090.0,128.9,137.9
15-1299,Bachelor's degree,No experience required,No on-the-job training,8.2,31.3,108970.0,472.0,510.5
15-2000,,,,27.1,,,431.09999999999997,547.9
15-2011,Bachelor's degree,No experience required,Long-term on-the-job training,21.8,2.4,125770.0,33.6,40.9
15-2021,Master's degree,No experience required,No on-the-job training,-0.7,0.1,121680.0,2.4,2.4
15-2031,Bachelor's degree,No experience required,No on-the-job training,21.5,9.6,91290.0,112.1,136.2
15-2041,Master's degree,No experience required,No on-the-job training,8.5,2.0,103300.0,32.199999999999996,34.9
15-2051,Bachelor's degree,No experience required,No on-the-job training,33.5,23.4,112590.0,245.8,328.3
15-2099,Bachelor's degree,No experience required,No on-the-job training,4.0,0.3,71490.0,5.0,5.2
17-1000,,,,4.1,,,215.0,223.9
17-1010,,,,3.8,,,145.4,151.0
17-1011,Bachelor's degree,No experience required,Internship/residency,3.9,7.8,96690.0,123.60000000000001,128.4
17-1012,Bachelor's degree,No experience required,Internship/residency,3.5,1.7,79660.0,21.8,22.6
17-1020,,,,4.8,,,69.60000000000001,72.9
17-1021,Bachelor's degree,No experience required,No on-the-job training,6.4,1.0,78380.0,13.4,14.3
17-1022,Bachelor's degree,No experience required,Internship/residency,4.4,3.9,72740.0,56.1,58.6
17-2000,,,,6.9,,,1790.3,1913.3
17-2011,Bachelor's degree,No experience required,No on-the-job training,6.1,4.5,134830.0,71.5,75.9
17-2021,Bachelor's degree,No experience required,No on-the-job training,5.9,0.1,84630.0,1.7,1.8
17-2031,Bachelor's degree,No experience required,No on-the-job training,5.2,1.3,106950.0,22.2,23.3
17-2041,Bachelor's degree,No experience required,No on-the-job training,2.6,1.1,121860.0,21.5,22.1
17-2051,Bachelor's degree,No experience required,No on-the-job training,5.0,23.6,99590.0,369.0,387.5
17-2061,Bachelor's degree,No experience required,No on-the-job training,7.3,4.7,155020.0,76.80000000000001,82.4
17-2070,,,,6.9,,,287.90000000000003,307.6
17-2071,Bachelor's degree,No experience required,No on-the-job training,7.2,11.7,111910.0,191.89999999999998,205.7
17-2072,Bachelor's degree,No experience required,No on-the-job training,6.2,5.7,127590.0,95.8,101.8
17-2081,Bachelor's degree,No experience required,No on-the-job training,3.9,3.0,104170.0,39.5,41.0
17-2110,,,,10.6,,,374.9,414.5
17-2111,Bachelor's degree,No experience required,No on-the-job training,4.4,1.5,109660.0,23.799999999999997,24.9
17-2112,Bachelor's degree,No experience required,No on-the-job training,11.0,25.2,101140.0,351.1,389.6
17-2121,Bachelor's degree,No experience required,No on-the-job training,5.8,0.6,105670.0,8.5,9.0
17-2131,Bachelor's degree,No experience required,No on-the-job training,5.7,1.5,108310.0,23.0,24.3
17-2141,Bachelor's degree,No experience required,No on-the-job training,9.1,18.1,102320.0,293.1,319.6
17-2151,Bachelor's degree,No experience required,No on-the-job training,0.7,0.4,101020.0,7.0,7.0
17-2161,Bachelor's degree,No experience required,No on-the-job training,-1.1,0.8,127520.0,15.5,15.3
17-2171,Bachelor's degree,No experience required,No on-the-job training,1.3,1.2,141280.0,19.6,19.8
17-2199,Bachelor's degree,No experience required,No on-the-job training,2.1,9.3,117750.0,158.79999999999998,162.1
17-3000,,,,1.3,,,643.1,651.2
17-3010,,,,-0.3,,,192.1,191.5
17-3011,Associate's degree,No experience required,No on-the-job training,4.1,10.0,64280.0,110.5,115.1
17-3012,Associate's degree,No experience required,No on-the-job training,-5.6,1.7,73720.0,21.599999999999998,20.4
17-3013,Associate's degree,No experience required,No on-the-job training,-6.5,3.3,68510.0,42.9,40.1
17-3019,Associate's degree,No experience required,No on-the-job training,-6.9,1.3,62010.0,17.1,15.9
17-3020,,,,1.5,,,391.7,397.7
17-3021,Associate's degree,No experience required,No on-the-job training,8.1,0.9,79830.0,9.299999999999999,10.1
17-3022,Associate's degree,No experience required,No on-the-job training,2.1,5.5,64200.0,64.8,66.2
17-3023,Associate's degree,No experience required,No on-the-job training,0.6,8.4,77180.0,93.7,94.3
17-3024,Associate's degree,No experience required,No on-the-job training,1.1,1.3,70760.0,14.9,15.1
17-3025,Associate's degree,No experience required,No on-the-job training,1.2,1.1,58890.0,12.9,13.0
17-3026,Associate's degree,No experience required,No on-the-job training,1.7,6.3,64790.0,74.60000000000001,75.9
17-3027,Associate's degree,No experience required,No on-the-job training,0.0,3.2,68730.0,38.3,38.3
17-3028,Associate's degree,No experience required,No on-the-job training,4.7,1.4,65040.0,15.8,16.5
17-3029,Associate's degree,No experience required,No on-the-job training,1.5,5.7,77390.0,67.3,68.3
17-3031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.5,7.6,51940.0,59.4,62.1
19-1000,,,,5.9,,,404.8,428.8
19-1010,,,,5.9,,,38.7,41.0
19-1011,Bachelor's degree,No experience required,No on-the-job training,5.8,0.2,79120.0,2.6999999999999997,2.9
19-1012,Bachelor's degree,No experience required,No on-the-job training,6.5,1.2,85310.0,15.2,16.2
19-1013,Bachelor's degree,No experience required,No on-the-job training,5.4,1.7,71410.0,20.7,21.8
19-1020,,,,2.9,,,138.3,142.3
19-1021,Doctoral or professional degree,No experience required,No on-the-job training,5.8,2.9,103650.0,35.5,37.6
19-1022,Bachelor's degree,No experience required,No on-the-job training,4.1,1.7,87330.0,20.8,21.6
19-1023,Bachelor's degree,No experience required,No on-the-job training,1.6,1.4,72860.0,18.2,18.5
19-1029,Bachelor's degree,No experience required,No on-the-job training,1.2,4.8,93330.0,63.7,64.5
19-1030,,,,2.7,,,42.4,43.5
19-1031,Bachelor's degree,No experience required,No on-the-job training,3.4,2.5,67950.0,28.5,29.5
19-1032,Bachelor's degree,No experience required,No on-the-job training,1.2,1.1,70660.0,13.8,14.0
19-1040,,,,9.2,,,177.7,194.0
19-1041,Master's degree,No experience required,No on-the-job training,16.2,0.8,83980.0,12.3,14.3
19-1042,Doctoral or professional degree,No experience required,No on-the-job training,8.7,9.6,100590.0,165.29999999999998,179.6
19-1099,Bachelor's degree,No experience required,No on-the-job training,3.7,0.4,87800.0,7.8,8.1
19-2000,,,,3.8,,,284.9,295.7
19-2010,,,,3.9,,,26.4,27.4
19-2011,Doctoral or professional degree,No experience required,No on-the-job training,2.2,0.1,132170.0,1.8,1.8
19-2012,Doctoral or professional degree,No experience required,No on-the-job training,4.0,1.7,166290.0,24.6,25.6
19-2021,Bachelor's degree,No experience required,No on-the-job training,0.7,0.7,97450.0,9.4,9.5
19-2030,,,,4.9,,,95.5,100.2
19-2031,Bachelor's degree,No experience required,No on-the-job training,4.9,6.3,84150.0,86.7,91.0
19-2032,Bachelor's degree,No experience required,No on-the-job training,4.9,0.6,104160.0,8.7,9.1
19-2040,,,,4.0,,,121.7,126.5
19-2041,Bachelor's degree,No experience required,No on-the-job training,4.4,8.5,80060.0,90.3,94.3
19-2042,Bachelor's degree,No experience required,No on-the-job training,3.2,2.0,99240.0,25.2,26.0
19-2043,Bachelor's degree,No experience required,No on-the-job training,-0.1,0.5,92060.0,6.3,6.3
19-2099,Bachelor's degree,No experience required,No on-the-job training,0.6,2.0,117960.0,31.900000000000002,32.1
19-3000,,,,3.7,,,339.9,352.5
19-3011,Master's degree,No experience required,No on-the-job training,1.2,0.9,115440.0,17.6,17.8
19-3022,Master's degree,No experience required,No on-the-job training,-5.2,0.7,63380.0,8.8,8.3
19-3030,,,,5.8,,,204.2,216.0
19-3032,Master's degree,No experience required,Internship/residency,6.3,0.4,109840.0,5.6000000000000005,5.9
19-3033,Doctoral or professional degree,No experience required,Internship/residency,11.2,4.8,95830.0,76.3,84.8
19-3034,Master's degree,No experience required,Internship/residency,0.7,3.8,86930.0,67.2,67.7
19-3039,Master's degree,No experience required,Internship/residency,4.3,3.9,117580.0,55.300000000000004,57.7
19-3041,Master's degree,No experience required,No on-the-job training,3.6,0.3,101690.0,3.5,3.6
19-3051,Master's degree,No experience required,No on-the-job training,3.4,3.4,83720.0,44.7,46.2
19-3090,,,,-0.9,,,61.0,60.5
19-3091,Master's degree,No experience required,No on-the-job training,3.7,0.8,64910.0,8.899999999999999,9.2
19-3092,Bachelor's degree,No experience required,No on-the-job training,-3.1,0.1,97200.0,1.5,1.5
19-3093,Master's degree,No experience required,No on-the-job training,2.2,0.3,74050.0,3.4,3.5
19-3094,Master's degree,No experience required,No on-the-job training,-3.1,0.5,139380.0,6.5,6.3
19-3099,Bachelor's degree,No experience required,No on-the-job training,-1.7,3.2,100340.0,40.800000000000004,40.1
19-4000,,,,3.4,,,416.2,430.5
19-4010,,,,4.6,,,38.900000000000006,40.7
19-4012,Associate's degree,No experience required,Moderate-term on-the-job training,4.3,2.9,46790.0,18.599999999999998,19.4
19-4013,Associate's degree,No experience required,Moderate-term on-the-job training,4.8,3.2,49430.0,20.3,21.3
19-4021,Bachelor's degree,No experience required,No on-the-job training,3.5,9.1,52000.0,82.69999999999999,85.6
19-4031,Associate's degree,No experience required,Moderate-term on-the-job training,3.7,6.7,57790.0,56.9,59.0
19-4040,,,,3.2,,,53.4,55.1
19-4042,Associate's degree,No experience required,No on-the-job training,4.0,5.6,49490.0,40.5,42.1
19-4043,Associate's degree,No experience required,Moderate-term on-the-job training,1.5,1.3,48390.0,9.9,10.0
19-4044,Associate's degree,No experience required,Moderate-term on-the-job training,-2.1,0.4,58570.0,3.1,3.0
19-4051,Associate's degree,No experience required,Moderate-term on-the-job training,-7.7,0.7,104240.0,6.0,5.5
19-4061,Bachelor's degree,No experience required,No on-the-job training,4.4,5.2,58040.0,40.5,42.3
19-4071,Associate's degree,No experience required,No on-the-job training,-3.2,3.9,54310.0,33.800000000000004,32.7
19-4090,,,,5.4,,,103.9,109.5
19-4092,Bachelor's degree,No experience required,Moderate-term on-the-job training,12.8,2.9,67440.0,20.7,23.3
19-4099,Associate's degree,No experience required,No on-the-job training,3.5,10.6,60130.0,83.3,86.2
19-5000,,,,11.7,,,163.8,183.0
19-5011,Bachelor's degree,No experience required,No on-the-job training,12.5,14.9,83910.0,131.9,148.4
19-5012,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,8.5,3.4,58440.0,31.900000000000002,34.6
21-1000,,,,7.6,,,2707.5,2913.8
21-1010,,,,10.4,,,1098.6,1212.8
21-1012,Master's degree,No experience required,No on-the-job training,3.5,31.0,65140.0,376.3,389.6
21-1013,Master's degree,No experience required,Internship/residency,12.6,7.7,63780.0,77.9,87.7
21-1015,Master's degree,No experience required,No on-the-job training,1.4,10.0,46110.0,91.9,93.2
21-1018,Master's degree,No experience required,Internship/residency,16.8,48.3,59190.0,483.6,564.6
21-1019,Master's degree,No experience required,No on-the-job training,12.6,7.4,49830.0,69.1,77.8
21-1020,,,,5.5,,,810.9,855.6
21-1021,Bachelor's degree,No experience required,No on-the-job training,3.4,35.1,58570.0,399.90000000000003,413.3
21-1022,Master's degree,No experience required,Internship/residency,7.7,18.4,68090.0,193.29999999999998,208.1
21-1023,Master's degree,No experience required,Internship/residency,9.7,13.5,60060.0,136.79999999999998,150.1
21-1029,Bachelor's degree,No experience required,No on-the-job training,3.9,7.0,69480.0,81.0,84.1
21-1090,,,,5.9,,,798.0,845.4
21-1091,Bachelor's degree,No experience required,No on-the-job training,4.5,7.9,63000.0,71.8,75.0
21-1092,Bachelor's degree,No experience required,Moderate-term on-the-job training,2.6,7.9,64520.0,92.39999999999999,94.8
21-1093,High school diploma or equivalent,No experience required,Short-term on-the-job training,6.4,50.6,45120.0,449.6,478.5
21-1094,High school diploma or equivalent,No experience required,Short-term on-the-job training,11.3,7.8,51030.0,65.1,72.5
21-1099,Bachelor's degree,No experience required,No on-the-job training,4.6,13.1,54940.0,119.2,124.7
21-2000,,,,1.2,,,489.4,495.4
21-2011,Bachelor's degree,No experience required,Moderate-term on-the-job training,1.0,23.0,60820.0,262.0,264.6
21-2021,Bachelor's degree,Less than 5 years,No on-the-job training,2.1,13.8,54840.0,138.9,141.8
21-2099,Bachelor's degree,No experience required,No on-the-job training,0.6,11.1,45120.0,88.4,89.0
23-1000,,,,4.0,,,933.1999999999999,970.4
23-1010,,,,4.1,,,879.3,915.5
23-1011,Doctoral or professional degree,No experience required,No on-the-job training,4.1,31.5,151160.0,864.8000000000001,900.7
23-1012,Doctoral or professional degree,No experience required,No on-the-job training,2.5,1.0,60400.0,14.5,14.9
23-1020,,,,1.8,,,54.0,54.9
23-1021,Doctoral or professional degree,5 years or more,Short-term on-the-job training,-0.7,0.5,115230.0,17.5,17.4
23-1022,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,4.3,0.3,67710.0,9.1,9.5
23-1023,Doctoral or professional degree,5 years or more,Short-term on-the-job training,2.5,0.9,156210.0,27.3,28.0
23-2000,,,,0.2,,,485.0,486.1
23-2011,Associate's degree,No experience required,No on-the-job training,0.2,39.3,61010.0,376.2,376.8
23-2090,,,,0.5,,,108.8,109.3
23-2093,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.0,5.4,54980.0,57.4,58.5
23-2099,Associate's degree,No experience required,No on-the-job training,-1.2,4.7,68760.0,51.300000000000004,50.7
25-1000,,,,5.9,,,1721.1999999999998,1822.1
25-1011,Doctoral or professional degree,No experience required,No on-the-job training,5.7,8.1,97270.0,103.2,109.0
25-1020,,,,3.6,,,103.7,107.4
25-1021,Doctoral or professional degree,No experience required,No on-the-job training,5.3,3.5,96690.0,44.800000000000004,47.2
25-1022,Doctoral or professional degree,No experience required,No on-the-job training,2.3,4.4,79350.0,58.900000000000006,60.2
25-1030,,,,7.0,,,62.0,66.3
25-1031,Doctoral or professional degree,No experience required,No on-the-job training,2.0,0.9,101480.0,11.700000000000001,11.9
25-1032,Doctoral or professional degree,No experience required,No on-the-job training,8.1,4.1,106120.0,50.3,54.4
25-1040,,,,6.8,,,78.3,83.6
25-1041,Doctoral or professional degree,No experience required,No on-the-job training,4.1,0.8,86350.0,10.799999999999999,11.2
25-1042,Doctoral or professional degree,No experience required,No on-the-job training,7.3,5.4,83460.0,66.0,70.8
25-1043,Doctoral or professional degree,No experience required,No on-the-job training,4.0,0.1,100830.0,1.5999999999999999,1.7
25-1050,,,,2.5,,,65.5,67.1
25-1051,Doctoral or professional degree,No experience required,No on-the-job training,2.6,1.0,101390.0,14.0,14.4
25-1052,Doctoral or professional degree,No experience required,No on-the-job training,2.2,1.9,86220.0,25.4,26.0
25-1053,Doctoral or professional degree,No experience required,No on-the-job training,2.9,0.7,87710.0,9.0,9.3
25-1054,Doctoral or professional degree,No experience required,No on-the-job training,2.5,1.3,97360.0,17.1,17.5
25-1060,,,,2.7,,,151.2,155.2
25-1061,Doctoral or professional degree,No experience required,No on-the-job training,2.7,0.5,95770.0,6.5,6.7
25-1062,Doctoral or professional degree,No experience required,No on-the-job training,2.4,1.1,84290.0,14.5,14.8
25-1063,Doctoral or professional degree,No experience required,No on-the-job training,2.1,1.2,119980.0,15.8,16.1
25-1064,Doctoral or professional degree,No experience required,No on-the-job training,3.3,0.3,86730.0,4.1000000000000005,4.2
25-1065,Doctoral or professional degree,No experience required,No on-the-job training,2.0,1.6,94680.0,21.8,22.2
25-1066,Doctoral or professional degree,No experience required,No on-the-job training,3.6,4.0,80330.0,52.5,54.4
25-1067,Doctoral or professional degree,No experience required,No on-the-job training,2.1,1.1,82540.0,15.399999999999999,15.7
25-1069,Doctoral or professional degree,No experience required,No on-the-job training,1.7,1.5,75040.0,20.700000000000003,21.1
25-1070,,,,17.2,,,381.20000000000005,446.6
25-1071,Doctoral or professional degree,Less than 5 years,No on-the-job training,17.3,27.4,105620.0,289.59999999999997,339.7
25-1072,Doctoral or professional degree,Less than 5 years,No on-the-job training,16.8,8.6,79940.0,91.60000000000001,106.9
25-1080,,,,2.2,,,80.1,81.8
25-1081,Doctoral or professional degree,Less than 5 years,No on-the-job training,2.1,5.6,72090.0,74.9,76.5
25-1082,Doctoral or professional degree,No experience required,No on-the-job training,3.0,0.4,78630.0,5.1,5.3
25-1110,,,,2.2,,,62.800000000000004,64.2
25-1111,Doctoral or professional degree,No experience required,No on-the-job training,2.0,1.2,71470.0,16.2,16.5
25-1112,Doctoral or professional degree,Less than 5 years,No on-the-job training,2.2,2.2,126650.0,29.599999999999998,30.2
25-1113,Doctoral or professional degree,No experience required,No on-the-job training,2.3,1.3,76210.0,17.1,17.5
25-1120,,,,0.9,,,309.20000000000005,312.1
25-1121,Master's degree,No experience required,No on-the-job training,1.7,9.0,80190.0,122.7,124.8
25-1122,Doctoral or professional degree,No experience required,No on-the-job training,2.1,2.7,77800.0,35.800000000000004,36.6
25-1123,Doctoral or professional degree,No experience required,No on-the-job training,0.0,5.1,78270.0,72.2,72.2
25-1124,Doctoral or professional degree,No experience required,No on-the-job training,-0.2,1.9,77010.0,26.4,26.4
25-1125,Doctoral or professional degree,No experience required,No on-the-job training,-0.2,1.7,81500.0,24.700000000000003,24.6
25-1126,Doctoral or professional degree,No experience required,No on-the-job training,0.7,2.0,78050.0,27.3,27.5
25-1190,,,,1.4,,,324.2,328.9
25-1192,Doctoral or professional degree,No experience required,No on-the-job training,3.4,0.2,77280.0,3.1999999999999997,3.3
25-1193,Doctoral or professional degree,No experience required,No on-the-job training,2.4,1.1,75890.0,15.299999999999999,15.7
25-1194,Bachelor's degree,Less than 5 years,No on-the-job training,0.7,8.8,61490.0,122.2,123.0
25-1199,Doctoral or professional degree,No experience required,No on-the-job training,1.8,13.5,78490.0,183.4,186.8
25-2000,,,,-1.0,,,4500.099999999999,4453.2
25-2010,,,,3.1,,,672.3,693.3
25-2011,Associate's degree,No experience required,No on-the-job training,4.1,65.5,37120.0,555.2,578.1
25-2012,Bachelor's degree,No experience required,No on-the-job training,-1.6,12.8,61430.0,117.10000000000001,115.2
25-2020,,,,-2.0,,,2070.5,2029.9
25-2021,Bachelor's degree,No experience required,No on-the-job training,-2.0,91.0,62340.0,1422.7,1394.8
25-2022,Bachelor's degree,No experience required,No on-the-job training,-2.0,40.5,62970.0,633.6999999999999,621.3
25-2023,Bachelor's degree,Less than 5 years,No on-the-job training,-2.0,0.9,63620.0,14.100000000000001,13.8
