soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
51-2011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-14.5,2.8,61680.0,33.6,28.7
51-2020,,,,4.1,,,273.59999999999997,284.7
51-2021,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-6.3,1.2,47260.0,12.3,11.5
51-2028,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.6,29.6,44040.0,261.40000000000003,273.3
51-2031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-21.1,2.8,52540.0,38.4,30.3
51-2041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-16.3,4.1,49900.0,53.8,45.0
51-2051,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.2,2.1,45760.0,18.599999999999998,19.4
51-2061,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-17.5,0.0,40790.0,0.2,0.2
51-2090,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-0.1,156.3,42210.0,1467.2,1465.9
51-3000,,,,4.5,,,891.2,931.6
51-3011,No formal educational credential,No experience required,Moderate-term on-the-job training,5.6,39.9,36650.0,249.2,263.2
51-3020,,,,3.1,,,359.5,370.5
51-3021,No formal educational credential,No experience required,Long-term on-the-job training,1.0,16.9,38960.0,143.1,144.5
51-3022,No formal educational credential,No experience required,Short-term on-the-job training,5.5,18.4,37700.0,146.8,154.9
51-3023,No formal educational credential,No experience required,Short-term on-the-job training,2.2,8.4,39790.0,69.7,71.2
51-3090,,,,5.4,,,282.59999999999997,297.9
51-3091,No formal educational credential,No experience required,Moderate-term on-the-job training,0.6,2.4,42730.0,20.7,20.8
51-3092,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,6.9,24.2,40790.0,173.5,185.4
51-3093,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,0.6,4.4,40550.0,29.7,29.9
51-3099,No formal educational credential,No experience required,Moderate-term on-the-job training,5.3,6.5,38420.0,58.699999999999996,61.8
51-4000,,,,-3.5,,,1639.4,1581.5
51-4020,,,,-2.8,,,97.2,94.5
51-4021,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.2,6.5,46980.0,66.0,66.8
51-4022,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-18.9,0.6,49240.0,8.9,7.2
51-4023,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-8.3,1.9,48630.0,22.5,20.6
51-4030,,,,-12.4,,,282.9,247.7
51-4031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-12.1,14.4,45590.0,174.7,153.6
51-4032,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-19.6,0.4,46630.0,5.3,4.3
51-4033,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-12.0,5.5,45190.0,70.10000000000001,61.7
51-4034,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-13.6,1.5,48620.0,19.0,16.4
51-4035,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-14.4,1.1,48310.0,13.8,11.8
51-4041,High school diploma or equivalent,No experience required,Long-term on-the-job training,0.0,29.5,56150.0,299.6,299.6
51-4050,,,,-2.8,,,26.8,26.0
51-4051,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-2.3,2.0,55770.0,20.8,20.3
51-4052,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-4.7,0.6,48940.0,6.0,5.7
51-4060,,,,-20.3,,,4.8,3.8
51-4061,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-18.2,0.3,62700.0,3.2,2.6
51-4062,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-24.4,0.1,54540.0,1.6,1.2
51-4070,,,,-5.5,,,167.29999999999998,158.2
51-4071,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-25.9,0.9,45700.0,12.7,9.4
51-4072,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-3.8,15.9,41230.0,154.60000000000002,148.8
51-4081,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-0.5,12.8,46060.0,131.0,130.3
51-4111,Postsecondary nondegree award,No experience required,Long-term on-the-job training,-10.8,4.7,63180.0,55.3,49.3
51-4120,,,,1.3,,,496.1,502.5
51-4121,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.2,45.6,51000.0,457.3,467.2
51-4122,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-9.0,3.2,47060.0,38.9,35.4
51-4190,,,,-11.4,,,78.4,69.5
51-4191,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-12.8,1.2,47450.0,14.8,12.9
51-4192,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-5.4,0.5,61870.0,5.7,5.4
51-4193,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-13.6,2.5,41600.0,31.7,27.4
51-4194,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-7.8,0.5,48970.0,5.9,5.4
51-4199,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-9.5,1.7,42750.0,20.4,18.5
51-5100,,,,-10.3,,,212.20000000000002,190.4
51-5111,Postsecondary nondegree award,No experience required,No on-the-job training,-14.6,2.8,47300.0,26.1,22.3
51-5112,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-8.1,13.7,45160.0,150.2,138.0
51-5113,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-16.1,2.8,39820.0,35.8,30.0
51-6000,,,,-3.2,,,520.7,504.2
51-6011,No formal educational credential,No experience required,Short-term on-the-job training,5.4,31.9,33800.0,202.6,213.5
51-6021,No formal educational credential,No experience required,Short-term on-the-job training,-13.5,2.8,33880.0,28.400000000000002,24.6
51-6031,No formal educational credential,No experience required,Short-term on-the-job training,-10.8,13.0,36000.0,124.0,110.7
51-6040,,,,-3.8,,,13.6,13.1
51-6041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-3.8,0.9,35950.0,9.5,9.1
51-6042,High school diploma or equivalent,No experience required,Short-term on-the-job training,-3.7,0.4,38160.0,4.1,3.9
51-6050,,,,-4.8,,,44.2,42.1
51-6051,No formal educational credential,No experience required,Moderate-term on-the-job training,-7.0,0.7,33760.0,5.4,5.0
51-6052,No formal educational credential,No experience required,Moderate-term on-the-job training,-4.5,5.0,40860.0,38.800000000000004,37.1
51-6060,,,,-10.2,,,52.5,47.1
51-6061,High school diploma or equivalent,No experience required,Short-term on-the-job training,-10.1,0.7,37320.0,6.1,5.5
